strain	strain	Data Source	genbank_accession	pango_lineage	Nuc.Completeness	Sequence Length	Sequence Quality	Quality Assessment	Host	Sample Collection Date	Location
Argentina/UW21112608981/2021	Argentina/UW21112608981/2021	Nextstrain	ON080878	AY.9.2	Complete	29903	High	NA	Homo sapiens	2021/11/26	Argentina
Argentina/UW21122751742/2021	Argentina/UW21122751742/2021	Nextstrain	ON908357	AY.25	Complete	29903	High	NA	Homo sapiens	2021/12/27	Argentina
Argentina/UW22010510283/2022	Argentina/UW22010510283/2022	Nextstrain	ON908317	BA.1.19	Complete	29903	High	NA	Homo sapiens	2022/1/5	Argentina
Argentina/UW22011003156/2022	Argentina/UW22011003156/2022	Nextstrain	ON908329	BA.1.15	Complete	29903	High	NA	Homo sapiens	2022/1/10	Argentina
Argentina/UW22011047945/2022	Argentina/UW22011047945/2022	Nextstrain	ON908330	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/10	Argentina
Argentina/UW22011241913/2022	Argentina/UW22011241913/2022	Nextstrain	ON908328	BA.1	Complete	29903	High	NA	Homo sapiens	2022/1/12	Argentina
AUS/NT06/2020	AUS/NT06/2020	Nextstrain	MT641653	B.1.268	Complete	29903	High	NA	Homo sapiens	2020/3/19	Australia
AUS/NT53/2020	AUS/NT53/2020	Nextstrain	MT972098	D.2	Complete	29903	High	NA	Homo sapiens	2020/6/30	Australia
AUS/QLD935/2020	AUS/QLD935/2020	Nextstrain	MZ410587	B.1	Complete	29903	High	NA	Homo sapiens	2020/3/25	Australia
AUS/TAS121/2020	AUS/TAS121/2020	Nextstrain	MT973435	B.33	Complete	29903	High	NA	Homo sapiens	2020/3/20	Australia
AUS/TAS166/2020	AUS/TAS166/2020	Nextstrain	MT973473	A.2.2	Complete	29903	High	NA	Homo sapiens	2020/5/1	Australia
AUS/TAS278/2020	AUS/TAS278/2020	Nextstrain	MT973342	D.2	Complete	29903	High	NA	Homo sapiens	2020/7/19	Australia
AUS/VIC13/2020	AUS/VIC13/2020	Nextstrain	MT450930	A	Complete	29903	High	NA	Homo sapiens	2020/1/31	Australia
AUS/VIC1450/2020	AUS/VIC1450/2020	Nextstrain	MW153067	B.1	Complete	29903	High	NA	Homo sapiens	2020/4/20	Australia
AUS/VIC15888/2020	AUS/VIC15888/2020	Nextstrain	MW277409	D.2	Complete	29903	High	NA	Homo sapiens	2020/10/9	Australia
AUS/VIC16199/2020	AUS/VIC16199/2020	Nextstrain	MW276959	D.2	Complete	29903	High	NA	Homo sapiens	2020/10/3	Australia
AUS/VIC1825/2020	AUS/VIC1825/2020	Nextstrain	MT972114	B.6	Complete	29903	High	NA	Homo sapiens	2020/5/29	Australia
AUS/VIC3280/2020	AUS/VIC3280/2020	Nextstrain	MT969894	D.2	Complete	29903	High	NA	Homo sapiens	2020/7/6	Australia
AUS/VIC3678/2020	AUS/VIC3678/2020	Nextstrain	MT970045	D.2	Complete	29903	High	NA	Homo sapiens	2020/7/10	Australia
AUS/VIC6966/2020	AUS/VIC6966/2020	Nextstrain	MW154409	D.2	Complete	29903	High	NA	Homo sapiens	2020/7/23	Australia
AUT/2021012643/2021	AUT/2021012643/2021	Nextstrain	MW913362	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/3/3	Austria
BEN/1092/2020	BEN/1092/2020	Nextstrain	MT653076	B.1	Complete	29903	High	NA	Homo sapiens	2020/3/27	Benin
BGD/BCSIR_NILMRC_339/2020	BGD/BCSIR_NILMRC_339/2020	Nextstrain	MT846009	B.1.1.25	Complete	29903	High	NA	Homo sapiens	2020/7/15	Bangladesh
BGD/BCSIR_NILMRC_75/2020	BGD/BCSIR_NILMRC_75/2020	Nextstrain	MT601287	B.1.1.25	Complete	29903	High	NA	Homo sapiens	2020/6/1	Bangladesh
BGD/Laila_1008/2022	BGD/Laila_1008/2022	Nextstrain	OM760562	BA.1	Complete	29903	High	NA	Homo sapiens	2022/1/19	Bangladesh
BGD/Laila_1019/2022	BGD/Laila_1019/2022	Nextstrain	OM760592	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/19	Bangladesh
BGD/Laila_507/2021	BGD/Laila_507/2021	Nextstrain	OM278243	B.1.617.2	Complete	29903	High	NA	Homo sapiens	2021/10/6	Bangladesh
BGD/Laila_840/2022	BGD/Laila_840/2022	Nextstrain	OM692469	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/14	Bangladesh
BGD/Laila_877/2022	BGD/Laila_877/2022	Nextstrain	OM570243	AY.131	Complete	29903	High	NA	Homo sapiens	2022/1/17	Bangladesh
BGD/Laila_878/2022	BGD/Laila_878/2022	Nextstrain	OM570247	BA.1	Complete	29903	High	NA	Homo sapiens	2022/1/17	Bangladesh
BGD/Laila_914/2022	BGD/Laila_914/2022	Nextstrain	OM535887	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/18	Bangladesh
BGD/Laila_916/2022	BGD/Laila_916/2022	Nextstrain	OM533435	BA.1.18	Complete	29903	High	NA	Homo sapiens	2022/1/24	Bangladesh
BGD/Laila_988/2022	BGD/Laila_988/2022	Nextstrain	OM760548	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/3	Bangladesh
BHR/090000572_S16_L001/2020	BHR/090000572_S16_L001/2020	Nextstrain	MW228280	B.1.1.306	Complete	29903	High	NA	Homo sapiens	2020/5/31	Bahrain
BHR/21921657429_S21_L001/2021	BHR/21921657429_S21_L001/2021	Nextstrain	OK487590	B.1.617.2	Complete	29903	High	NA	Homo sapiens	2021/10/9	Bahrain
BHR/22020049455/2022	BHR/22020049455/2022	Nextstrain	ON171856	BA.2	Complete	29903	High	NA	Homo sapiens	2022/1/24	Bahrain
